date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2014-02-13,32.3,26.3,2.1,1.3,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2014-02-05,1000
2014-02-14,28.9,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-02-10,NA
2014-02-19,27.5,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2014-02-13,1000
2014-02-28,28.8,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-02-24,NA
2014-03-01,32.6,26.7,2.3,1.6,1.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2014-02-28,630
2014-03-04,31.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-02-25,1200
2014-03-06,32,28.9,2,1.4,1,1,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-03-01,1100
2014-03-07,29.3,22.8,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-03-03,1068
2014-03-14,33.3,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2014-03-03,955
2014-04-01,31.8,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-03-25,1200
2014-04-05,32.3,28.9,1.9,1.4,0.9,0.9,1.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-04-01,1100
2014-04-07,31.9,26.2,2.5,1.1,0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2014-04-01,2469
2014-04-09,28.4,23.8,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-04-01,1020
2014-04-15,33.1,30.2,NA,NA,NA,NA,2.3,1.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2014-04-10,1000
2014-05-08,32.4,29,1.8,1.3,0.8,0.8,2,0.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-05-02,1100
2014-05-08,34.9,27.1,2.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feedback,2014-04-30,1500
2014-05-10,30.9,22.9,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-05-02,NA
